,Date,Count
0,1959-01-01,134603
1,1960-09-01,134603
2,1962-05-01,134603
3,1964-01-01,134603
4,1965-09-01,135520
5,1967-05-01,226220
6,1969-01-01,226220
7,1970-08-01,226220
8,1972-04-01,226220
9,1973-12-01,226220
10,1975-08-01,257745
11,1977-04-01,276722
12,1978-12-01,298427
13,1980-08-01,546211
14,1982-04-01,752943
15,1983-12-01,752943
16,1985-08-01,786204
17,1987-03-01,1868288
18,1988-11-01,1952288
19,1990-07-01,2209969
20,1992-03-01,2254122
21,1993-11-01,2268114
22,1995-07-01,2335456
23,1997-03-01,2472411
24,1998-11-01,2574030
25,2000-07-01,2713264
26,2002-03-01,2795789
27,2003-10-01,2841430
28,2005-06-01,3118255
29,2007-02-01,3183382
30,2008-10-01,3207215
31,2010-06-01,3277948
32,2012-02-01,3375265
33,2013-10-01,3425111
34,2015-06-01,3466125
35,2017-02-01,3491540
36,2018-09-01,3501674
37,2020-05-01,3515876
38,2022-01-01,3535798
39,2023-09-01,3536336
